ac_number,ac_name,table_no,polling_station_no,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,candidate_15,candidate_16,total_valid,rejected,total,tendered
036,UTHIRAMERUR,1,1,15,153,190,2,1,2,172,1,0,5,1,0,0,3,1,6,552,0,552,0
036,UTHIRAMERUR,2,2,23,249,150,3,3,1,79,4,0,0,0,0,0,1,8,0,521,0,521,0
036,UTHIRAMERUR,3,3,25,323,178,1,2,0,88,2,0,1,4,0,1,3,1,6,635,0,635,0
036,UTHIRAMERUR,4,4,27,200,160,2,3,1,47,2,1,1,3,1,0,1,0,7,456,0,456,0
036,UTHIRAMERUR,5,5,55,389,341,1,5,0,36,3,0,1,1,0,1,0,3,12,848,0,848,0
036,UTHIRAMERUR,6,6,29,292,331,0,11,1,11,6,0,0,0,0,1,0,0,15,697,0,697,0
036,UTHIRAMERUR,7,7,20,225,189,2,3,0,41,2,0,0,0,0,1,0,2,2,487,0,487,0
036,UTHIRAMERUR,8,8,41,321,369,12,2,1,171,2,0,1,2,2,1,1,2,3,931,0,931,0
036,UTHIRAMERUR,9,9,18,307,275,2,4,0,24,9,1,1,0,0,0,1,0,14,656,0,656,0
036,UTHIRAMERUR,10,10,40,281,293,2,10,0,57,4,0,1,0,0,3,2,0,10,703,0,703,0
036,UTHIRAMERUR,11,11,35,160,259,0,9,0,38,4,0,0,0,0,0,0,0,11,516,0,516,0
036,UTHIRAMERUR,12,12,52,256,270,1,6,0,48,11,0,0,0,0,0,1,0,13,658,0,658,0
036,UTHIRAMERUR,13,13,46,325,284,0,1,0,33,0,0,0,0,0,0,0,1,11,701,0,701,0
036,UTHIRAMERUR,14,14,61,199,210,1,10,0,30,8,1,0,5,0,0,0,0,8,533,0,533,0
036,UTHIRAMERUR,15,15,78,231,244,4,3,0,10,3,1,0,0,1,0,4,4,6,574,0,574,0
036,UTHIRAMERUR,16,16,33,311,234,1,6,0,61,3,0,0,0,0,0,4,0,7,649,0,649,0
036,UTHIRAMERUR,17,17,60,314,304,6,5,0,55,4,0,0,2,0,1,2,2,6,750,0,750,0
036,UTHIRAMERUR,18,18,41,317,258,3,8,1,100,7,0,0,0,0,0,0,0,10,735,0,735,0
036,UTHIRAMERUR,19,19,32,349,437,0,13,0,42,6,0,0,1,0,0,1,2,12,880,0,880,0
036,UTHIRAMERUR,20,20,17,230,230,0,3,0,29,6,0,0,0,1,1,1,0,8,515,0,515,0
036,UTHIRAMERUR,21,21,31,254,223,0,6,0,42,2,0,0,0,1,0,2,2,3,558,0,558,0
036,UTHIRAMERUR,22,22,44,307,247,2,11,1,37,8,0,0,0,1,0,2,3,11,657,0,657,0
036,UTHIRAMERUR,23,23,46,444,255,4,3,1,40,7,0,1,0,0,1,5,7,10,801,0,801,0
036,UTHIRAMERUR,24,24,46,334,349,2,6,0,25,12,0,0,0,0,0,2,5,20,774,0,774,0
036,UTHIRAMERUR,25,25,27,399,186,3,3,0,70,5,0,0,1,0,0,3,2,11,694,0,694,0
036,UTHIRAMERUR,26,26,27,283,268,4,2,0,18,7,0,0,0,0,1,0,3,5,609,0,609,0
036,UTHIRAMERUR,27,27,24,231,176,0,1,0,31,3,0,0,0,0,0,2,0,17,466,0,466,0
036,UTHIRAMERUR,28,28,32,228,225,1,7,0,32,7,0,0,2,0,0,1,0,13,534,0,534,0
036,UTHIRAMERUR,29,29,45,352,416,2,6,0,46,12,0,0,0,0,0,1,3,10,893,0,893,0
036,UTHIRAMERUR,30,30,38,248,248,1,6,0,35,11,1,0,0,0,0,1,2,9,600,0,600,0
036,UTHIRAMERUR,31,31,27,280,293,1,9,0,52,4,0,0,0,0,0,0,1,8,675,0,675,0
036,UTHIRAMERUR,32,32,22,231,181,0,3,0,165,0,0,1,0,0,2,3,1,7,616,0,616,0
036,UTHIRAMERUR,33,33,65,276,198,3,5,0,75,1,0,0,0,0,2,3,3,7,638,0,638,0
