ac_number,ac_name,table_no,polling_station_no,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_9,candidate_10,candidate_11,candidate_12,candidate_13,candidate_14,candidate_15,candidate_16,total_valid,rejected,total,tendered
029,SRIPERUMBUDUR (SC),1,1,11,351,440,9,4,5,1,0,26,0,1,1,1,7,7,12,876,0,876,0
029,SRIPERUMBUDUR (SC),2,2,6,215,223,7,2,114,0,3,15,0,0,0,1,1,3,7,597,0,597,0
029,SRIPERUMBUDUR (SC),3,3,4,120,202,6,1,201,0,0,9,1,0,1,0,0,0,2,547,0,547,0
029,SRIPERUMBUDUR (SC),4,4,10,196,262,4,6,326,3,2,45,0,8,0,2,1,1,1,867,0,867,0
029,SRIPERUMBUDUR (SC),5,5,7,281,226,4,7,274,0,1,23,1,4,0,1,4,3,2,838,0,838,0
029,SRIPERUMBUDUR (SC),6,6,4,124,216,4,7,114,2,0,14,0,0,0,0,0,2,4,491,0,491,0
029,SRIPERUMBUDUR (SC),7,7,33,211,262,7,0,105,1,0,45,1,0,3,1,4,10,6,689,0,689,0
029,SRIPERUMBUDUR (SC),8,8,5,354,172,4,7,15,0,0,34,0,0,0,0,1,2,3,597,0,597,0
029,SRIPERUMBUDUR (SC),9,9,1,153,221,5,6,9,0,0,7,0,0,0,0,4,0,3,409,0,409,0
029,SRIPERUMBUDUR (SC),10,10,9,399,323,6,6,47,1,0,99,0,0,1,0,2,2,11,906,0,906,0
029,SRIPERUMBUDUR (SC),11,11,5,264,291,4,2,27,0,0,53,0,1,0,2,3,3,6,661,0,661,0
029,SRIPERUMBUDUR (SC),12,12,1,91,162,4,2,302,1,1,11,1,0,1,0,1,2,7,587,0,587,0
029,SRIPERUMBUDUR (SC),13,13,2,167,307,7,4,186,2,2,34,1,0,0,0,0,0,2,714,0,714,0
029,SRIPERUMBUDUR (SC),14,14,4,121,128,9,2,198,1,0,8,1,0,0,1,0,0,3,476,0,476,0
029,SRIPERUMBUDUR (SC),15,15,5,259,144,1,2,73,1,2,14,0,0,0,2,0,2,2,501,0,501,0
029,SRIPERUMBUDUR (SC),16,16,2,86,146,0,4,3,0,0,0,0,0,0,0,1,1,2,241,0,241,0
029,SRIPERUMBUDUR (SC),17,17,3,199,154,5,2,128,2,0,5,0,0,0,0,0,1,2,498,0,498,0
029,SRIPERUMBUDUR (SC),18,18,0,135,228,7,3,13,0,0,23,0,0,0,0,0,1,0,409,0,409,0
029,SRIPERUMBUDUR (SC),19,19,4,564,385,5,8,15,0,0,37,0,4,0,1,2,0,6,1022,0,1022,0
029,SRIPERUMBUDUR (SC),20,20,7,194,231,11,0,168,1,0,17,1,0,0,1,7,3,6,630,0,630,0
029,SRIPERUMBUDUR (SC),21,21,3,210,228,11,4,206,0,0,10,0,0,1,1,1,2,4,672,0,672,0
029,SRIPERUMBUDUR (SC),22,22,0,176,199,8,3,194,1,0,25,0,0,1,0,0,4,3,606,0,606,0
029,SRIPERUMBUDUR (SC),23,23,2,167,315,8,4,105,3,0,74,0,1,0,0,1,3,2,679,0,679,0
029,SRIPERUMBUDUR (SC),24,24,0,346,371,12,3,258,1,1,13,0,1,0,1,0,0,3,1006,0,1006,0
029,SRIPERUMBUDUR (SC),25,25,0,208,81,2,0,248,4,0,28,0,0,0,1,1,1,3,571,0,571,0
029,SRIPERUMBUDUR (SC),26,26M,0,256,187,4,4,175,0,4,47,0,0,0,0,2,3,6,677,0,677,0
029,SRIPERUMBUDUR (SC),27,26A(W),4,266,265,9,4,138,1,3,27,0,1,3,1,0,4,3,718,0,718,0
029,SRIPERUMBUDUR (SC),28,27,1,215,177,5,1,119,1,0,20,1,1,0,0,0,0,3,541,0,541,0
029,SRIPERUMBUDUR (SC),29,28,3,398,362,7,2,219,1,1,35,0,1,2,0,1,2,1,1035,0,1035,0
029,SRIPERUMBUDUR (SC),30,29,1,56,76,10,3,37,0,1,11,0,0,0,0,0,1,2,198,0,198,0
029,SRIPERUMBUDUR (SC),31,30,4,343,148,18,3,12,1,0,24,0,0,0,1,1,0,11,566,0,566,0
029,SRIPERUMBUDUR (SC),32,31,1,278,179,14,10,52,0,0,37,0,0,0,1,1,1,14,588,0,588,0
029,SRIPERUMBUDUR (SC),33,32,2,232,153,10,6,39,0,0,42,0,0,0,1,0,1,8,494,0,494,0
029,SRIPERUMBUDUR (SC),34,33,3,255,332,12,4,55,0,2,66,1,0,0,1,2,2,9,744,0,744,0
029,SRIPERUMBUDUR (SC),35,34,5,303,396,20,5,55,4,2,98,0,0,1,0,2,0,11,902,0,902,0
029,SRIPERUMBUDUR (SC),36,35,1,189,161,7,9,20,1,0,29,0,0,0,0,0,0,5,422,0,422,0
029,SRIPERUMBUDUR (SC),37,36,4,240,223,31,8,41,0,1,36,0,0,0,0,1,0,3,588,0,588,0
029,SRIPERUMBUDUR (SC),38,37,2,295,131,5,4,89,0,2,19,0,1,0,2,0,2,5,557,0,557,0
029,SRIPERUMBUDUR (SC),39,38,0,325,260,6,2,21,0,0,67,0,0,0,1,1,3,6,692,0,692,0
029,SRIPERUMBUDUR (SC),40,39,3,236,208,12,4,527,5,1,28,0,2,1,1,1,2,6,1037,0,1037,0
029,SRIPERUMBUDUR (SC),41,40,1,81,127,0,3,19,0,0,11,0,1,2,1,1,0,3,250,0,250,0
029,SRIPERUMBUDUR (SC),42,41,2,261,219,6,3,276,1,0,23,0,0,0,0,1,2,5,799,0,799,0
029,SRIPERUMBUDUR (SC),43,42,9,330,323,15,3,126,3,0,73,1,3,1,1,1,2,12,903,0,903,0
029,SRIPERUMBUDUR (SC),44,43,3,294,135,3,4,167,3,0,29,2,0,0,3,1,2,5,651,0,651,0
029,SRIPERUMBUDUR (SC),45,44,2,229,209,3,8,279,2,0,27,0,1,0,0,0,6,3,769,0,769,0
029,SRIPERUMBUDUR (SC),46,45,0,278,269,12,10,258,0,7,34,0,0,1,0,2,3,9,883,0,883,0
029,SRIPERUMBUDUR (SC),47,46,0,396,246,8,2,136,1,0,26,0,0,0,2,0,7,7,831,0,831,0
029,SRIPERUMBUDUR (SC),48,47,3,317,237,14,6,142,3,2,38,3,1,0,3,2,8,6,785,0,785,0
029,SRIPERUMBUDUR (SC),49,48,3,318,300,20,13,292,1,4,103,1,1,0,0,5,1,1,1063,0,1063,0
029,SRIPERUMBUDUR (SC),50,49,1,279,264,2,4,110,0,1,78,1,0,0,0,5,1,9,755,0,755,0
029,SRIPERUMBUDUR (SC),51,50,1,276,234,24,6,138,0,1,60,1,0,0,0,0,0,5,746,0,746,0
029,SRIPERUMBUDUR (SC),52,51,1,339,436,7,1,28,0,2,134,0,1,3,1,3,1,3,960,0,960,0
029,SRIPERUMBUDUR (SC),53,52,2,173,206,5,0,30,0,0,25,0,1,1,0,0,1,3,447,0,447,0
029,SRIPERUMBUDUR (SC),54,53,1,208,243,8,5,137,2,0,23,1,0,1,0,0,1,5,635,0,635,0
029,SRIPERUMBUDUR (SC),55,54,1,167,198,3,3,60,0,1,32,1,0,0,0,1,2,1,470,0,470,0
029,SRIPERUMBUDUR (SC),56,55,3,283,314,11,4,33,0,1,40,1,0,2,0,0,1,7,700,0,700,0
029,SRIPERUMBUDUR (SC),57,56,5,283,492,7,5,9,0,2,81,0,0,0,2,4,1,9,900,0,900,0
029,SRIPERUMBUDUR (SC),58,57,1,205,177,27,16,36,0,4,32,1,0,0,0,2,1,6,508,0,508,0
029,SRIPERUMBUDUR (SC),59,58,3,334,302,12,8,27,0,3,88,2,0,1,2,1,1,5,789,0,789,0
029,SRIPERUMBUDUR (SC),60,59,0,237,228,17,6,115,0,1,26,2,0,0,0,1,0,3,636,0,636,0
029,SRIPERUMBUDUR (SC),61,60,0,233,218,14,4,71,0,0,41,0,0,0,0,0,1,8,590,0,590,0
029,SRIPERUMBUDUR (SC),62,61,4,362,228,42,13,74,2,6,69,0,0,0,1,1,2,33,837,0,837,0
029,SRIPERUMBUDUR (SC),63,62,3,198,159,18,12,40,0,1,15,0,1,0,0,1,1,5,454,0,454,0
029,SRIPERUMBUDUR (SC),64,63,2,180,157,26,8,17,1,4,30,0,0,0,0,0,1,7,433,0,433,0
029,SRIPERUMBUDUR (SC),65,64,3,221,197,16,6,79,1,2,37,0,1,0,0,0,1,5,569,0,569,0
029,SRIPERUMBUDUR (SC),66,65,0,191,243,14,6,67,0,2,16,0,0,0,0,2,0,11,552,0,552,0
029,SRIPERUMBUDUR (SC),67,66,2,188,166,22,9,60,0,1,8,0,0,0,0,0,1,10,467,0,467,0
029,SRIPERUMBUDUR (SC),68,67,1,245,147,6,9,21,1,0,16,0,0,0,0,2,3,8,459,0,459,0
029,SRIPERUMBUDUR (SC),69,68,1,197,153,29,5,37,1,4,46,0,0,0,0,0,2,19,494,0,494,0
029,SRIPERUMBUDUR (SC),70,69,2,166,238,10,6,208,0,1,29,1,0,1,2,2,3,8,677,0,677,0
029,SRIPERUMBUDUR (SC),71,70,0,190,246,14,12,52,2,0,35,0,0,0,0,0,0,13,564,0,564,0
029,SRIPERUMBUDUR (SC),72,71,0,217,266,18,25,58,0,0,31,0,0,0,0,0,1,12,628,0,628,0
029,SRIPERUMBUDUR (SC),73,72,5,194,251,9,8,12,0,1,56,0,1,0,2,2,3,11,555,0,555,0
029,SRIPERUMBUDUR (SC),74,73,1,120,186,3,4,15,1,1,114,0,0,0,0,0,0,2,447,0,447,0
029,SRIPERUMBUDUR (SC),75,74,0,207,150,14,13,24,0,2,40,0,0,0,0,0,0,16,466,0,466,0
029,SRIPERUMBUDUR (SC),76,75,1,199,159,18,11,42,0,3,54,0,1,0,0,1,0,15,504,0,504,0
029,SRIPERUMBUDUR (SC),77,76,3,337,306,15,21,27,0,8,80,0,1,1,0,1,0,17,817,0,817,0
029,SRIPERUMBUDUR (SC),78,77,36,258,352,10,5,0,0,6,51,0,0,0,2,3,2,5,730,0,730,0
029,SRIPERUMBUDUR (SC),79,78,4,378,413,7,18,2,1,19,98,2,2,1,3,0,2,8,958,0,958,0
029,SRIPERUMBUDUR (SC),80,79,6,253,520,14,5,29,0,0,63,1,0,0,0,1,0,4,896,0,896,0
029,SRIPERUMBUDUR (SC),81,80,4,218,440,8,5,12,0,0,62,0,1,0,2,2,2,13,769,0,769,0
